"","eventID","parentEventID","eventDate","locationID","decimalLatitude","decimalLongitude","higherGeography","locality","geodeticDatum","minimumDepthInMeters","maximumDepthInMeters","samplingProtocol","locationRemarks","minimumDistanceAboveSurfaceInMeters","maximumDistancesAboveSurfaceInMeters","materialEntityID"
"1","MC885_20140501_AT26144705046",,2014-05-01,"AT26-14-4705",28.06614,-89.71717,"Gulf of Mexico | BOEM Lease Block MC885","BOEM Lease Block MC885","WGS84",634,634,"Push core","Near coral",0,-0.02,"AT26-14-4705-046"
"2","MC885_20140501_AT26144705046",,2014-05-01,"AT26-14-4705",28.06614,-89.71717,"Gulf of Mexico | BOEM Lease Block MC885","BOEM Lease Block MC885","WGS84",634,634,"Push core","Near coral",-0.02,-0.05,"AT26-14-4705-046"
"3","MC885_20140501_AT26144705046",,2014-05-01,"AT26-14-4705",28.06614,-89.71717,"Gulf of Mexico | BOEM Lease Block MC885","BOEM Lease Block MC885","WGS84",634,634,"Push core","Near coral",-0.05,-0.1,"AT26-14-4705-046"
"4","MC885_20140501_AT26144705047",,2014-05-01,"AT26-14-4705",28.06614,-89.71729,"Gulf of Mexico | BOEM Lease Block MC885","BOEM Lease Block MC885","WGS84",635,635,"Push core","Near coral",0,-0.02,"AT26-14-4705-047"
"5","MC885_20140501_AT26144705047",,2014-05-01,"AT26-14-4705",28.06614,-89.71729,"Gulf of Mexico | BOEM Lease Block MC885","BOEM Lease Block MC885","WGS84",635,635,"Push core","Near coral",-0.02,-0.05,"AT26-14-4705-047"
"6","MC885_20140501_AT26144705047",,2014-05-01,"AT26-14-4705",28.06614,-89.71729,"Gulf of Mexico | BOEM Lease Block MC885","BOEM Lease Block MC885","WGS84",635,635,"Push core","Near coral",-0.05,-0.1,"AT26-14-4705-047"
"7","AT357_20140504_AT26144706058",,2014-05-04,"AT26-14-4706",27.58644,-89.70441,"Gulf of Mexico | BOEM Lease Block AT357","BOEM Lease Block AT357","WGS84",1050,1050,"Push core","Near coral",0,-0.02,"AT26-14-4706-058"
"8","AT357_20140504_AT26144706058",,2014-05-04,"AT26-14-4706",27.58644,-89.70441,"Gulf of Mexico | BOEM Lease Block AT357","BOEM Lease Block AT357","WGS84",1050,1050,"Push core","Near coral",-0.02,-0.05,"AT26-14-4706-058"
"9","AT357_20140504_AT26144706058",,2014-05-04,"AT26-14-4706",27.58644,-89.70441,"Gulf of Mexico | BOEM Lease Block AT357","BOEM Lease Block AT357","WGS84",1050,1050,"Push core","Near coral",-0.05,-0.1,"AT26-14-4706-058"
"10","AT357_20140504_AT26144706059",,2014-05-04,"AT26-14-4706",27.58611,-89.70435,"Gulf of Mexico | BOEM Lease Block AT357","BOEM Lease Block AT357","WGS84",1054,1054,"Push core","Near coral",0,-0.02,"AT26-14-4706-059"
