"eventID","occurrenceID","eventDate","scientificName","scientificNameID","verbatimIdentification","occurrenceStatus","basisOfRecord","individualCount","associatedTaxa","occurrenceRemarks","locality","higherGeography","taxonRank","kingdom","phylum","class","order","family","genus","countryCode"
"MC885_20140501_AT26144705046A","AT26-14-4705-046A_1",2014-05-01,"Agathotanaidae","urn:lsid:marinespecies.org:taxname:237594, urn:lsid:itis.gov:itis_tsn: 91688","Agathotanaidae","present","HumanObservation",1,"livesNear: Madrepora","within 1 meter of Madrepora","BOEM Lease Block MC885","Gulf of Mexico | BOEM Lease Block MC885","Family","Animalia","Arthropoda","Malacostraca","Tanaidacea","Agathotanaidae",,"US"
"MC885_20140501_AT26144705046A","AT26-14-4705-046A_2",2014-05-01,"Akanthophoreidae","urn:lsid:marinespecies.org:taxname:599405, urn:lsid:itis.gov:itis_tsn: NA","Akanthophoreidae","present","HumanObservation",2,"livesNear: Madrepora","within 1 meter of Madrepora","BOEM Lease Block MC885","Gulf of Mexico | BOEM Lease Block MC885","Family","Animalia","Arthropoda","Malacostraca","Tanaidacea","Akanthophoreidae",,"US"
"MC885_20140501_AT26144705046A","AT26-14-4705-046A_3",2014-05-01,"Amphipoda","urn:lsid:marinespecies.org:taxname:1135, urn:lsid:itis.gov:itis_tsn: 93294","Amphipoda","present","HumanObservation",1,"livesNear: Madrepora","within 1 meter of Madrepora","BOEM Lease Block MC885","Gulf of Mexico | BOEM Lease Block MC885","Order","Animalia","Arthropoda","Malacostraca","Amphipoda",,,"US"
"MC885_20140501_AT26144705046A","AT26-14-4705-046A_4",2014-05-01,"Anarthruridae","urn:lsid:marinespecies.org:taxname:136159, urn:lsid:itis.gov:itis_tsn: 91722","Anarthruridae","present","HumanObservation",3,"livesNear: Madrepora","within 1 meter of Madrepora","BOEM Lease Block MC885","Gulf of Mexico | BOEM Lease Block MC885","Family","Animalia","Arthropoda","Malacostraca","Tanaidacea","Anarthruridae",,"US"
"MC885_20140501_AT26144705046A","AT26-14-4705-046A_5",2014-05-01,"Bivalvia","urn:lsid:marinespecies.org:taxname:105, urn:lsid:itis.gov:itis_tsn: 79118","Bivalvia","present","HumanObservation",2,"livesNear: Madrepora","within 1 meter of Madrepora","BOEM Lease Block MC885","Gulf of Mexico | BOEM Lease Block MC885","Class","Animalia","Mollusca","Bivalvia",,,,"US"
"MC885_20140501_AT26144705046A","AT26-14-4705-046A_6",2014-05-01,"Chaetodermatidae","urn:lsid:marinespecies.org:taxname:2089, urn:lsid:itis.gov:itis_tsn: 79079","Chaetodermatidae","present","HumanObservation",1,"livesNear: Madrepora","within 1 meter of Madrepora","BOEM Lease Block MC885","Gulf of Mexico | BOEM Lease Block MC885","Family","Animalia","Mollusca","Caudofoveata","Chaetodermatida","Chaetodermatidae",,"US"
"MC885_20140501_AT26144705046A","AT26-14-4705-046A_7",2014-05-01,"Cirratulidae","urn:lsid:marinespecies.org:taxname:919, urn:lsid:itis.gov:itis_tsn: 67116","Cirratulidae","present","HumanObservation",1,"livesNear: Madrepora","within 1 meter of Madrepora","BOEM Lease Block MC885","Gulf of Mexico | BOEM Lease Block MC885","Family","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae",,"US"
"MC885_20140501_AT26144705046A","AT26-14-4705-046A_8",2014-05-01,"Desmosomatidae","urn:lsid:marinespecies.org:taxname:118250, urn:lsid:itis.gov:itis_tsn: 92893","Desmosomatidae","present","HumanObservation",2,"livesNear: Madrepora","within 1 meter of Madrepora","BOEM Lease Block MC885","Gulf of Mexico | BOEM Lease Block MC885","Family","Animalia","Arthropoda","Malacostraca","Isopoda","Desmosomatidae",,"US"
"MC885_20140501_AT26144705046A","AT26-14-4705-046A_9",2014-05-01,"Gastropoda","urn:lsid:marinespecies.org:taxname:101, urn:lsid:itis.gov:itis_tsn: 69459","Gastropoda","present","HumanObservation",1,"livesNear: Madrepora","within 1 meter of Madrepora","BOEM Lease Block MC885","Gulf of Mexico | BOEM Lease Block MC885","Class","Animalia","Mollusca","Gastropoda",,,,"US"
"MC885_20140501_AT26144705046A","AT26-14-4705-046A_10",2014-05-01,"Hydrozoa","urn:lsid:marinespecies.org:taxname:1337, urn:lsid:itis.gov:itis_tsn: 48739","Hydrozoa","present","HumanObservation",1,"livesNear: Madrepora","within 1 meter of Madrepora","BOEM Lease Block MC885","Gulf of Mexico | BOEM Lease Block MC885","Class","Animalia","Cnidaria","Hydrozoa",,,,"US"
