"","eventID","measurementType","measurementTypeID","measurementValue","measurementUnit","measurementUnitID","measurementRemarks"
"1","MC885_20140501_AT26144705046A","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.349999905","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"2","MC885_20140501_AT26144705046A","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"3","MC885_20140501_AT26144705046A","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"4","MC885_20140501_AT26144705046B","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.349999905","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"5","MC885_20140501_AT26144705046B","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"6","MC885_20140501_AT26144705046B","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"7","AT357_20130629_NA028107PC3","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"8","AT357_20130629_NA028107PC3","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"9","AT357_20130629_NA028107PC3","Proportion by volume of particles (63-2000um) in the sediment","http://vocab.nerc.ac.uk/collection/P01/current/PRPCL064/","13.91563698","UPCT","http://vocab.nerc.ac.uk/collection/P06/current/UPCT/","""Sand"""
"10","AT357_20130629_NA028107PC3","Proportion by volume of particles (0-63um) in the sediment","http://vocab.nerc.ac.uk/collection/P01/current/PRPCL088/","69.17922299","UPCT","http://vocab.nerc.ac.uk/collection/P06/current/UPCT/","""Mud"""
"11","AT357_20130629_NA028107PC3","proportionGravel(>2000um)",NA,"16.90514002",NA,NA,NA
"12","MC885_20140501_AT26144705044","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"13","MC885_20140501_AT26144705044","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"14","MC885_20140501_AT26144705044","Proportion by volume of particles (63-2000um) in the sediment","http://vocab.nerc.ac.uk/collection/P01/current/PRPCL064/","4.813931653","UPCT","http://vocab.nerc.ac.uk/collection/P06/current/UPCT/","""Sand"""
"15","MC885_20140501_AT26144705044","Proportion by volume of particles (0-63um) in the sediment","http://vocab.nerc.ac.uk/collection/P01/current/PRPCL088/","85.35796488","UPCT","http://vocab.nerc.ac.uk/collection/P06/current/UPCT/","""Mud"""
"16","MC885_20140501_AT26144705044","proportionGravel(>2000um)",NA,"9.828103462",NA,NA,NA
