eventID,parentEventID,eventDate,locationID,decimalLatitude,decimalLongitude,higherGeography,locality,geodeticDatum,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol,locationRemarks,minimumDistanceAboveSurfaceInMeters,maximumDistancesAboveSurfaceInMeters
MC885_20140501_AT26144705046A,MC885_20140501_AT26144705046,2014-05-01,AT26-14-4705,28.06614,-89.71717,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,634,634,Push core_6.349999905,Near,-0,-0.02
MC885_20140501_AT26144705046B,MC885_20140501_AT26144705046,2014-05-01,AT26-14-4705,28.06614,-89.71717,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,634,634,Push core_6.349999905,Near,-0.02,-0.05
MC885_20140501_AT26144705046C,MC885_20140501_AT26144705046,2014-05-01,AT26-14-4705,28.06614,-89.71717,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,634,634,Push core_6.349999905,Near,-0.05,-0.1
MC885_20140501_AT26144705047A,MC885_20140501_AT26144705047,2014-05-01,AT26-14-4705,28.06614,-89.71729,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,635,635,Push core_6.349999905,Near,-0,-0.02
MC885_20140501_AT26144705047B,MC885_20140501_AT26144705047,2014-05-01,AT26-14-4705,28.06614,-89.71729,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,635,635,Push core_6.349999905,Near,-0.02,-0.05
MC885_20140501_AT26144705047C,MC885_20140501_AT26144705047,2014-05-01,AT26-14-4705,28.06614,-89.71729,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,635,635,Push core_6.349999905,Near,-0.05,-0.1
AT357_20140504_AT26144706058A,AT357_20140504_AT26144706058,2014-05-04,AT26-14-4706,27.58644,-89.70441,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1050,1050,Push core_6.349999905,Near,-0,-0.02
AT357_20140504_AT26144706058B,AT357_20140504_AT26144706058,2014-05-04,AT26-14-4706,27.58644,-89.70441,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1050,1050,Push core_6.349999905,Near,-0.02,-0.05
AT357_20140504_AT26144706058C,AT357_20140504_AT26144706058,2014-05-04,AT26-14-4706,27.58644,-89.70441,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1050,1050,Push core_6.349999905,Near,-0.05,-0.1
AT357_20140504_AT26144706059A,AT357_20140504_AT26144706059,2014-05-04,AT26-14-4706,27.58611,-89.70435,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1054,1054,Push core_6.349999905,Near,-0,-0.02
