eventID,eventDate,materialEntityID,locationID,decimalLatitude,decimalLongitude,higherGeography,locality,geodeticDatum,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol,locationRemarks,parentEventID,minimumDistanceAboveSurfaceInMeters,maximumDistancesAboveSurfaceInMeters
MC885_20140501_AT26144705046,2014-05-01,AT26-14-4705-046,AT26-14-4705,28.06614,-89.71717,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,634,634,Push core,Near coral,NA,NA,NA
MC885_20140501_AT26144705047,2014-05-01,AT26-14-4705-047,AT26-14-4705,28.06614,-89.71729,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,635,635,Push core,Near coral,NA,NA,NA
AT357_20140504_AT26144706058,2014-05-04,AT26-14-4706-058,AT26-14-4706,27.58644,-89.70441,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1050,1050,Push core,Near coral,NA,NA,NA
AT357_20140504_AT26144706059,2014-05-04,AT26-14-4706-059,AT26-14-4706,27.58611,-89.70435,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1054,1054,Push core,Near coral,NA,NA,NA
MC885_20101016_RB10D527PC02,2010-10-16,RB10-D527-PC02,RB-2010-GOM-527,28.0664,-89.717,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,633,633,Push core,Near coral,NA,NA,NA
MC885_20101016_RB10D527PC01,2010-10-16,RB10-D527-PC01,RB-2010-GOM-527,28.0664,-89.717,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,633,633,Push core,Near coral,NA,NA,NA
MC885_20101016_RB10D527PC09,2010-10-16,RB10-D527-PC09,RB-2010-GOM-527,28.0664,-89.717,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,633,633,Push core,Near coral,NA,NA,NA
GB299_20101019_RB10D530PC01,2010-10-19,RB10-D530-PC01,RB-2010-GOM-530,27.68659,-92.23104,Gulf of Mexico | BOEM Lease Block GB299,BOEM Lease Block GB299,WGS84,362,362,Push core,Near coral,NA,NA,NA
GB299_20101019_RB10D530PC02,2010-10-19,RB10-D530-PC02,RB-2010-GOM-530,27.68652,-92.23073,Gulf of Mexico | BOEM Lease Block GB299,BOEM Lease Block GB299,WGS84,361,361,Push core,Near coral,NA,NA,NA
GB299_20101019_RB10D530PC03,2010-10-19,RB10-D530-PC03,RB-2010-GOM-530,27.68652,-92.23073,Gulf of Mexico | BOEM Lease Block GB299,BOEM Lease Block GB299,WGS84,361,361,Push core,Near coral,NA,NA,NA
GB299_20101019_RB10D530PC04,2010-10-19,RB10-D530-PC04,RB-2010-GOM-530,27.68652,-92.23073,Gulf of Mexico | BOEM Lease Block GB299,BOEM Lease Block GB299,WGS84,361,361,Push core,Near coral,NA,NA,NA
GB299_20101020_RB10D530PC05,2010-10-20,RB10-D530-PC05,RB-2010-GOM-530,27.6846,-92.2209,Gulf of Mexico | BOEM Lease Block GB299,BOEM Lease Block GB299,WGS84,340,340,Push core,Near coral,NA,NA,NA
GB299_20101020_RB10D530PC07,2010-10-20,RB10-D530-PC07,RB-2010-GOM-530,27.6846,-92.2209,Gulf of Mexico | BOEM Lease Block GB299,BOEM Lease Block GB299,WGS84,340,340,Push core,Near coral,NA,NA,NA
GB299_20101019_RB10D530PC09,2010-10-19,RB10-D530-PC09,RB-2010-GOM-530,27.68659,-92.23104,Gulf of Mexico | BOEM Lease Block GB299,BOEM Lease Block GB299,WGS84,362,362,Push core,Near coral,NA,NA,NA
GB299_20101019_RB10D530PC10,2010-10-19,RB10-D530-PC10,RB-2010-GOM-530,27.68659,-92.23104,Gulf of Mexico | BOEM Lease Block GB299,BOEM Lease Block GB299,WGS84,362,362,Push core,Near coral,NA,NA,NA
GC140_20101021_RB10D532PC07,2010-10-21,RB10-D532-PC07,RB-2010-GOM-532,27.8108,-91.5371,Gulf of Mexico | BOEM Lease Block GC140,BOEM Lease Block GC140,WGS84,263,263,Push core,Near coral,NA,NA,NA
GC140_20101021_RB10D532PC10,2010-10-21,RB10-D532-PC10,RB-2010-GOM-532,27.8108,-91.5371,Gulf of Mexico | BOEM Lease Block GC140,BOEM Lease Block GC140,WGS84,263,263,Push core,Near coral,NA,NA,NA
GC249_20101023_RB10D533PC09,2010-10-23,RB10-D533-PC09,RB-2010-GOM-533,27.7241,-90.5142,Gulf of Mexico | BOEM Lease Block GC249,BOEM Lease Block GC249,WGS84,789,789,Push core,Near coral,NA,NA,NA
GC249_20101023_RB10D533PC07,2010-10-23,RB10-D533-PC07,RB-2010-GOM-533,27.7241,-90.5142,Gulf of Mexico | BOEM Lease Block GC249,BOEM Lease Block GC249,WGS84,789,789,Push core,Near coral,NA,NA,NA
GC249_20101023_RB10D533PC08,2010-10-23,RB10-D533-PC08,RB-2010-GOM-533,27.7241,-90.5142,Gulf of Mexico | BOEM Lease Block GC249,BOEM Lease Block GC249,WGS84,789,789,Push core,Near coral,NA,NA,NA
MC118_20101030_RB10D538PC01,2010-10-30,RB10-D538-PC01,RB-2010-GOM-538,28.85271,-88.49254,Gulf of Mexico | BOEM Lease Block MC118,BOEM Lease Block MC118,WGS84,883,883,Push core,Near coral,NA,NA,NA
MC118_20101030_RB10D538PC02,2010-10-30,RB10-D538-PC02,RB-2010-GOM-538,28.85271,-88.49254,Gulf of Mexico | BOEM Lease Block MC118,BOEM Lease Block MC118,WGS84,883,883,Push core,Near coral,NA,NA,NA
MC118_20101030_RB10D538PC04,2010-10-30,RB10-D538-PC04,RB-2010-GOM-538,28.85268,-88.49267,Gulf of Mexico | BOEM Lease Block MC118,BOEM Lease Block MC118,WGS84,882,882,Push core,Near coral,NA,NA,NA
MC118_20101030_RB10D538PC05,2010-10-30,RB10-D538-PC05,RB-2010-GOM-538,28.85271,-88.49254,Gulf of Mexico | BOEM Lease Block MC118,BOEM Lease Block MC118,WGS84,883,883,Push core,Near coral,NA,NA,NA
MC118_20101030_RB10D538PC06,2010-10-30,RB10-D538-PC06,RB-2010-GOM-538,28.85268,-88.49267,Gulf of Mexico | BOEM Lease Block MC118,BOEM Lease Block MC118,WGS84,882,882,Push core,Near coral,NA,NA,NA
MC118_20101030_RB10D538PC08,2010-10-30,RB10-D538-PC08,RB-2010-GOM-538,28.85268,-88.49267,Gulf of Mexico | BOEM Lease Block MC118,BOEM Lease Block MC118,WGS84,882,882,Push core,Near coral,NA,NA,NA
MC118_20130625_NA028046PC1,2013-06-25,NA028-046-PC1,NA028-H1261,28.85275,-88.49269,Gulf of Mexico | BOEM Lease Block MC118,BOEM Lease Block MC118,WGS84,884,884,Push core,Near coral,NA,NA,NA
MC118_20130625_NA028048PC3,2013-06-25,NA028-048-PC3,NA028-H1261,28.85275,-88.49269,Gulf of Mexico | BOEM Lease Block MC118,BOEM Lease Block MC118,WGS84,884,884,Push core,Near coral,NA,NA,NA
MC118_20130625_NA028049PC2,2013-06-25,NA028-049-PC2,NA028-H1261,28.85275,-88.49269,Gulf of Mexico | BOEM Lease Block MC118,BOEM Lease Block MC118,WGS84,884,884,Push core,Near coral,NA,NA,NA
MC118_20130625_NA028051PC5,2013-06-25,NA028-051-PC5,NA028-H1261,28.85268,-88.49252,Gulf of Mexico | BOEM Lease Block MC118,BOEM Lease Block MC118,WGS84,883,883,Push core,Near coral,NA,NA,NA
AT357_20130627_NA028084PC4,2013-06-27,NA028-084-PC4,NA028-H1264,27.58672,-89.70464,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1049,1049,Push core,Near coral,NA,NA,NA
