eventID,occurrenceID,eventDate,verbatimIdentification,occurrenceStatus,basisOfRecord,individualCount,associatedOccurrence,scientficName,taxonRank,kingdom,phylum,class,order,family,genus,scientificNameID
MC885_20140501_AT26144705046A,AT26-14-4705-046A_1,2014-05-01,Agathotanaidae,present,HumanObservation,1,Madrepora,Agathotanaidae,Family,Animalia,Arthropoda,Malacostraca,Tanaidacea,Agathotanaidae,NA,"urn:lsid:marinespecies.org:taxname:237594, urn:lsid:itis.gov:itis_tsn: 91688"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_2,2014-05-01,Akanthophoreidae,present,HumanObservation,2,Madrepora,Akanthophoreidae,Family,Animalia,Arthropoda,Malacostraca,Tanaidacea,Akanthophoreidae,NA,"urn:lsid:marinespecies.org:taxname:599405, urn:lsid:itis.gov:itis_tsn: NA"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_3,2014-05-01,Amphipoda,present,HumanObservation,1,Madrepora,Amphipoda,Order,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,"urn:lsid:marinespecies.org:taxname:1135, urn:lsid:itis.gov:itis_tsn: 93294"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_4,2014-05-01,Anarthruridae,present,HumanObservation,3,Madrepora,Anarthruridae,Family,Animalia,Arthropoda,Malacostraca,Tanaidacea,Anarthruridae,NA,"urn:lsid:marinespecies.org:taxname:136159, urn:lsid:itis.gov:itis_tsn: 91722"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_5,2014-05-01,Bivalvia,present,HumanObservation,2,Madrepora,Bivalvia,Class,Animalia,Mollusca,Bivalvia,NA,NA,NA,"urn:lsid:marinespecies.org:taxname:105, urn:lsid:itis.gov:itis_tsn: 79118"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_6,2014-05-01,Chaetodermatidae,present,HumanObservation,1,Madrepora,Chaetodermatidae,Family,Animalia,Mollusca,Caudofoveata,Chaetodermatida,Chaetodermatidae,NA,"urn:lsid:marinespecies.org:taxname:2089, urn:lsid:itis.gov:itis_tsn: 79079"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_7,2014-05-01,Cirratulidae,present,HumanObservation,1,Madrepora,Cirratulidae,Family,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,NA,"urn:lsid:marinespecies.org:taxname:919, urn:lsid:itis.gov:itis_tsn: 67116"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_8,2014-05-01,Desmosomatidae,present,HumanObservation,2,Madrepora,Desmosomatidae,Family,Animalia,Arthropoda,Malacostraca,Isopoda,Desmosomatidae,NA,"urn:lsid:marinespecies.org:taxname:118250, urn:lsid:itis.gov:itis_tsn: 92893"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_9,2014-05-01,Gastropoda,present,HumanObservation,1,Madrepora,Gastropoda,Class,Animalia,Mollusca,Gastropoda,NA,NA,NA,"urn:lsid:marinespecies.org:taxname:101, urn:lsid:itis.gov:itis_tsn: 69459"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_10,2014-05-01,Hydrozoa,present,HumanObservation,1,Madrepora,Hydrozoa,Class,Animalia,Cnidaria,Hydrozoa,NA,NA,NA,"urn:lsid:marinespecies.org:taxname:1337, urn:lsid:itis.gov:itis_tsn: 48739"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_11,2014-05-01,Lumbrineridae,present,HumanObservation,1,Madrepora,Lumbrineridae,Family,Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,NA,"urn:lsid:marinespecies.org:taxname:967, urn:lsid:itis.gov:itis_tsn: 66335"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_12,2014-05-01,Maldanidae,present,HumanObservation,3,Madrepora,Maldanidae,Family,Animalia,Annelida,Polychaeta,NA,Maldanidae,NA,"urn:lsid:marinespecies.org:taxname:923, urn:lsid:itis.gov:itis_tsn: 67515"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_13,2014-05-01,Nannastacidae,present,HumanObservation,2,Madrepora,Nannastacidae,Family,Animalia,Arthropoda,Malacostraca,Cumacea,Nannastacidae,NA,"urn:lsid:marinespecies.org:taxname:110383, urn:lsid:itis.gov:itis_tsn: 90963"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_14,2014-05-01,Opheliidae,present,HumanObservation,1,Madrepora,Opheliidae,Family,Animalia,Annelida,Polychaeta,NA,Opheliidae,NA,"urn:lsid:marinespecies.org:taxname:924, urn:lsid:itis.gov:itis_tsn: 67342"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_15,2014-05-01,Paraonidae,present,HumanObservation,1,Madrepora,Paraonidae,Family,Animalia,Annelida,Polychaeta,NA,Paraonidae,NA,"urn:lsid:marinespecies.org:taxname:903, urn:lsid:itis.gov:itis_tsn: 66659"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_16,2014-05-01,Pardaliscidae,present,HumanObservation,2,Madrepora,Pardaliscidae,Family,Animalia,Arthropoda,Malacostraca,Amphipoda,Pardaliscidae,NA,"urn:lsid:marinespecies.org:taxname:101401, urn:lsid:itis.gov:itis_tsn: 94601"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_17,2014-05-01,Phoxocephalidae,present,HumanObservation,3,Madrepora,Phoxocephalidae,Family,Animalia,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,NA,"urn:lsid:marinespecies.org:taxname:101403, urn:lsid:itis.gov:itis_tsn: 94633"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_18,2014-05-01,Platyischnopidae,present,HumanObservation,1,Madrepora,Platyischnopidae,Family,Animalia,Arthropoda,Malacostraca,Amphipoda,Platyischnopidae,NA,"urn:lsid:marinespecies.org:taxname:236742, urn:lsid:itis.gov:itis_tsn: 95068"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_19,2014-05-01,Prochaetodermatidae,present,HumanObservation,1,Madrepora,Prochaetodermatidae,Family,Animalia,Mollusca,Caudofoveata,Chaetodermatida,Prochaetodermatidae,NA,"urn:lsid:marinespecies.org:taxname:23102, urn:lsid:itis.gov:itis_tsn: 79104"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_20,2014-05-01,Pseudotanaidae,present,HumanObservation,1,Madrepora,Pseudotanaidae,Family,Animalia,Arthropoda,Malacostraca,Tanaidacea,Pseudotanaidae,NA,"urn:lsid:marinespecies.org:taxname:136163, urn:lsid:itis.gov:itis_tsn: 91695"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_21,2014-05-01,Solenogastres,present,HumanObservation,1,Madrepora,Solenogastres,Class,Animalia,Mollusca,Solenogastres,NA,NA,NA,"urn:lsid:marinespecies.org:taxname:2094, urn:lsid:itis.gov:itis_tsn: 205356"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_22,2014-05-01,Spionidae,present,HumanObservation,1,Madrepora,Spionidae,Family,Animalia,Annelida,Polychaeta,Spionida,Spionidae,NA,"urn:lsid:marinespecies.org:taxname:913, urn:lsid:itis.gov:itis_tsn: 66781"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_23,2014-05-01,Syllidae,present,HumanObservation,1,Madrepora,Syllidae,Family,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,NA,"urn:lsid:marinespecies.org:taxname:948, urn:lsid:itis.gov:itis_tsn: 65587"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_24,2014-05-01,Tanaidacea,present,HumanObservation,1,Madrepora,Tanaidacea,Order,Animalia,Arthropoda,Malacostraca,Tanaidacea,NA,NA,"urn:lsid:marinespecies.org:taxname:1133, urn:lsid:itis.gov:itis_tsn: 91061"
MC885_20140501_AT26144705046A,AT26-14-4705-046A_25,2014-05-01,Trichobranchidae,present,HumanObservation,1,Madrepora,Trichobranchidae,Family,Animalia,Annelida,Polychaeta,Terebellida,Trichobranchidae,NA,"urn:lsid:marinespecies.org:taxname:983, urn:lsid:itis.gov:itis_tsn: 68067"
MC885_20140501_AT26144705046B,AT26-14-4705-046B_1,2014-05-01,Anarthruridae,present,HumanObservation,7,Madrepora,Anarthruridae,Family,Animalia,Arthropoda,Malacostraca,Tanaidacea,Anarthruridae,NA,"urn:lsid:marinespecies.org:taxname:136159, urn:lsid:itis.gov:itis_tsn: 91722"
MC885_20140501_AT26144705046B,AT26-14-4705-046B_2,2014-05-01,Bivalvia,present,HumanObservation,1,Madrepora,Bivalvia,Class,Animalia,Mollusca,Bivalvia,NA,NA,NA,"urn:lsid:marinespecies.org:taxname:105, urn:lsid:itis.gov:itis_tsn: 79118"
MC885_20140501_AT26144705046B,AT26-14-4705-046B_3,2014-05-01,Chaetodermatidae,present,HumanObservation,1,Madrepora,Chaetodermatidae,Family,Animalia,Mollusca,Caudofoveata,Chaetodermatida,Chaetodermatidae,NA,"urn:lsid:marinespecies.org:taxname:2089, urn:lsid:itis.gov:itis_tsn: 79079"
MC885_20140501_AT26144705046B,AT26-14-4705-046B_4,2014-05-01,Lumbrineridae,present,HumanObservation,1,Madrepora,Lumbrineridae,Family,Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,NA,"urn:lsid:marinespecies.org:taxname:967, urn:lsid:itis.gov:itis_tsn: 66335"
MC885_20140501_AT26144705046C,AT26-14-4705-046C_1,2014-05-01,Anarthruridae,present,HumanObservation,2,Madrepora,Anarthruridae,Family,Animalia,Arthropoda,Malacostraca,Tanaidacea,Anarthruridae,NA,"urn:lsid:marinespecies.org:taxname:136159, urn:lsid:itis.gov:itis_tsn: 91722"
MC885_20140501_AT26144705046C,AT26-14-4705-046C_2,2014-05-01,Paraonidae,present,HumanObservation,3,Madrepora,Paraonidae,Family,Animalia,Annelida,Polychaeta,NA,Paraonidae,NA,"urn:lsid:marinespecies.org:taxname:903, urn:lsid:itis.gov:itis_tsn: 66659"
MC885_20140501_AT26144705046C,AT26-14-4705-046C_3,2014-05-01,Tanaellidae,present,HumanObservation,1,Madrepora,Tanaellidae,Family,Animalia,Arthropoda,Malacostraca,Tanaidacea,Tanaellidae,NA,"urn:lsid:marinespecies.org:taxname:244585, urn:lsid:itis.gov:itis_tsn: 621527"
MC885_20140501_AT26144705047A,AT26-14-4705-047A_1,2014-05-01,Chaetodermatidae,present,HumanObservation,1,Octocoral,Chaetodermatidae,Family,Animalia,Mollusca,Caudofoveata,Chaetodermatida,Chaetodermatidae,NA,"urn:lsid:marinespecies.org:taxname:2089, urn:lsid:itis.gov:itis_tsn: 79079"
MC885_20140501_AT26144705047A,AT26-14-4705-047A_2,2014-05-01,Cirratulidae,present,HumanObservation,1,Octocoral,Cirratulidae,Family,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,NA,"urn:lsid:marinespecies.org:taxname:919, urn:lsid:itis.gov:itis_tsn: 67116"
MC885_20140501_AT26144705047A,AT26-14-4705-047A_3,2014-05-01,Desmosomatidae,present,HumanObservation,6,Octocoral,Desmosomatidae,Family,Animalia,Arthropoda,Malacostraca,Isopoda,Desmosomatidae,NA,"urn:lsid:marinespecies.org:taxname:118250, urn:lsid:itis.gov:itis_tsn: 92893"
MC885_20140501_AT26144705047A,AT26-14-4705-047A_4,2014-05-01,Hesionidae,present,HumanObservation,1,Octocoral,Hesionidae,Family,Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,NA,"urn:lsid:marinespecies.org:taxname:946, urn:lsid:itis.gov:itis_tsn: 65467"
MC885_20140501_AT26144705047A,AT26-14-4705-047A_5,2014-05-01,Opheliidae,present,HumanObservation,1,Octocoral,Opheliidae,Family,Animalia,Annelida,Polychaeta,NA,Opheliidae,NA,"urn:lsid:marinespecies.org:taxname:924, urn:lsid:itis.gov:itis_tsn: 67342"
MC885_20140501_AT26144705047A,AT26-14-4705-047A_6,2014-05-01,Paraonidae,present,HumanObservation,3,Octocoral,Paraonidae,Family,Animalia,Annelida,Polychaeta,NA,Paraonidae,NA,"urn:lsid:marinespecies.org:taxname:903, urn:lsid:itis.gov:itis_tsn: 66659"
