eventID,occurrenceID,eventDate,scientificName,scientificNameID,verbatimIdentification,occurrenceStatus,basisOfRecord,individualCount,associatedOccurrence,taxonRank,kingdom,phylum,class,order,family,genus
MC885_20140501_AT26144705046A,AT26-14-4705-046A_1,2014-05-01,Agathotanaidae,"urn:lsid:marinespecies.org:taxname:237594, urn:lsid:itis.gov:itis_tsn: 91688",Agathotanaidae,present,HumanObservation,1,Madrepora,Family,Animalia,Arthropoda,Malacostraca,Tanaidacea,Agathotanaidae,NA
MC885_20140501_AT26144705046A,AT26-14-4705-046A_2,2014-05-01,Akanthophoreidae,"urn:lsid:marinespecies.org:taxname:599405, urn:lsid:itis.gov:itis_tsn: NA",Akanthophoreidae,present,HumanObservation,2,Madrepora,Family,Animalia,Arthropoda,Malacostraca,Tanaidacea,Akanthophoreidae,NA
MC885_20140501_AT26144705046A,AT26-14-4705-046A_3,2014-05-01,Amphipoda,"urn:lsid:marinespecies.org:taxname:1135, urn:lsid:itis.gov:itis_tsn: 93294",Amphipoda,present,HumanObservation,1,Madrepora,Order,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA
MC885_20140501_AT26144705046A,AT26-14-4705-046A_4,2014-05-01,Anarthruridae,"urn:lsid:marinespecies.org:taxname:136159, urn:lsid:itis.gov:itis_tsn: 91722",Anarthruridae,present,HumanObservation,3,Madrepora,Family,Animalia,Arthropoda,Malacostraca,Tanaidacea,Anarthruridae,NA
MC885_20140501_AT26144705046A,AT26-14-4705-046A_5,2014-05-01,Bivalvia,"urn:lsid:marinespecies.org:taxname:105, urn:lsid:itis.gov:itis_tsn: 79118",Bivalvia,present,HumanObservation,2,Madrepora,Class,Animalia,Mollusca,Bivalvia,NA,NA,NA
MC885_20140501_AT26144705046A,AT26-14-4705-046A_6,2014-05-01,Chaetodermatidae,"urn:lsid:marinespecies.org:taxname:2089, urn:lsid:itis.gov:itis_tsn: 79079",Chaetodermatidae,present,HumanObservation,1,Madrepora,Family,Animalia,Mollusca,Caudofoveata,Chaetodermatida,Chaetodermatidae,NA
MC885_20140501_AT26144705046A,AT26-14-4705-046A_7,2014-05-01,Cirratulidae,"urn:lsid:marinespecies.org:taxname:919, urn:lsid:itis.gov:itis_tsn: 67116",Cirratulidae,present,HumanObservation,1,Madrepora,Family,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,NA
MC885_20140501_AT26144705046A,AT26-14-4705-046A_8,2014-05-01,Desmosomatidae,"urn:lsid:marinespecies.org:taxname:118250, urn:lsid:itis.gov:itis_tsn: 92893",Desmosomatidae,present,HumanObservation,2,Madrepora,Family,Animalia,Arthropoda,Malacostraca,Isopoda,Desmosomatidae,NA
MC885_20140501_AT26144705046A,AT26-14-4705-046A_9,2014-05-01,Gastropoda,"urn:lsid:marinespecies.org:taxname:101, urn:lsid:itis.gov:itis_tsn: 69459",Gastropoda,present,HumanObservation,1,Madrepora,Class,Animalia,Mollusca,Gastropoda,NA,NA,NA
MC885_20140501_AT26144705046A,AT26-14-4705-046A_10,2014-05-01,Hydrozoa,"urn:lsid:marinespecies.org:taxname:1337, urn:lsid:itis.gov:itis_tsn: 48739",Hydrozoa,present,HumanObservation,1,Madrepora,Class,Animalia,Cnidaria,Hydrozoa,NA,NA,NA
